,current_inventory
11808390,200
11822821,200
11824719,200
11828111,200
11848391,200
11854031,200
11854855,200
11855924,200
11882492,200
11883847,200
11884835,200
11887982,200
12806081,200
12808733,200
12811068,200
12812170,200
12814164,200
12816388,200
12817732,200
12818917,200
12822922,200
12823210,200
12824950,200
12829871,200
12830721,200
12830879,200
12831905,200
12833924,200
12839728,200
12841528,200
12842664,200
12842800,200
12844152,200
12848131,200
12850713,200
12850837,200
12851884,200
12852848,200
12853372,200
12854450,200
12860191,200
12861171,200
12861201,200
12861405,200
12862860,200
12863424,200
12864242,200
12865028,200
12866962,200
12867969,200
11803011,15
11803126,0
11854359,15
11854740,15
11855762,15
11855789,15
11874813,15
11878304,15
12808946,15
12810801,0
12824780,15
12833398,15
12837962,15
12845345,15
12850047,15
12854239,0
12856401,15
12857530,0
12866253,0
12868787,0
